TIMESTAMP,CPU,MEM
1734414393,0,12827
1734414395,8.7,13287
1734414396,2,13304
1734414397,3,13263
1734414398,2,13303
1734414400,2,13303
1734414401,2,13303
1734414402,2,13304
1734414404,2,13304
1734414405,2,13304
1734414406,2,13304
1734414407,2,13304
1734414409,2,13304
1734414410,1,13304
1734414411,7.7,13304
1734414412,3,13303
1734414414,1,13303
1734414415,14.3,13304
1734414416,3,13303
1734414417,2,13303
1734414419,2,13264
1734414420,8.7,13304
1734414421,2,13304
1734414422,1,13303
1734414424,1,13304
1734414425,1,13304
1734414426,2,13263
1734414427,1,13304
1734414429,1,13303
1734414430,2,13304
1734414431,1,13304
1734414432,2,13304
1734414434,3,13303
1734414435,2,13304
1734414436,2,13304
1734414437,2,13303
1734414439,3,13264
1734414440,2,13304
1734414441,2,13304
1734414442,2,13304
1734414444,2,13303
1734414445,8.7,13303
1734414446,2,13303
1734414447,2,13264
1734414449,3,13303
1734414450,1,13304
1734414451,8.7,13303
1734414452,2,13304
1734414454,1,13303
1734414455,0,13304
